PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
8,144203559,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,11.1001,-105.695,inconclusive agonist,,,active antagonist,13.9742,-124.248,active antagonist,6.74001,-46.6416,NCI
9,144203560,2724372,C=C[C@H]1CN2CCC1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,23.9145,87.4564,inactive,,0,active agonist,14.5209,52.8115,inactive,,0,NCI
10,144203561,637566,CC(=CCC/C(=C/CO)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
11,144203562,994,C1=CC=C(C=C1)CC(C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,NCI
12,144203563,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
13,144203564,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,17.9333,54.8411,inactive,,0,Labotest
14,144203565,3080,C(C(CS)S)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
15,144203566,197883,[C@H]([C@@H](C(=O)O)S)(C(=O)O)S,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,23.9145,-35.1442,inactive,,0,inconclusive antagonist,18.9959,-55.6002,inactive,,0,NCI
16,144203567,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
17,144203568,66064,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,26.8325,-112.446,inactive,,0,inconclusive antagonist,26.8325,-170.877,active antagonist,20.5113,-72.6327,NCI
18,144203569,66435,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Active,52,,,active antagonist,active antagonist,7.13938,-55.8778,inactive,,0,active antagonist,9.89298,-59.7369,inactive,,0,NCI
19,144203570,8969,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
20,144203571,10664,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
21,144203572,8739,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
22,144203573,4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
23,144203574,65463,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,Inconclusive,5,,,inconclusive,inconclusive antagonist,26.8325,-33.016,inactive,,0,inactive,,0,inactive,,0,NCI
24,144203575,439501,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.2485,-113.933,inconclusive agonist,,,active antagonist,0.28973,-126.865,active antagonist,0.0624205,-58.3637,NCI
25,144203576,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
26,144203577,60196259,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
27,144203578,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inconclusive,5,,,inconclusive,inconclusive agonist,23.9145,31.2796,inactive,,0,inactive,,0,inactive,,0,NCI
28,144203579,3246155,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
29,144203580,5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Inconclusive,5,,,inconclusive,active antagonist,15.6793,-29.4538,inactive,,0,inactive,,0,inactive,,0,NCI
30,144203581,54724367,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
31,144203582,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,22.5767,-137.662,inconclusive agonist,13.4481,23.2284,active antagonist,26.8325,-151.477,active antagonist,21.3138,-60.1302,NIEHS
32,144203583,667466,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,25.8222,-74.744,inactive,,0,inconclusive antagonist,21.3138,-88.9459,active antagonist,21.3138,-50.0353,NCI
33,144203584,24403,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
34,144203585,6419941,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
35,144203586,6603108,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
36,144203587,6419978,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
37,144203588,5459110,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
38,144203589,656597,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
39,144203590,3000668,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
40,144203591,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,23.9145,52.7287,inconclusive antagonist,18.9959,-32.4956,NCI
41,144203592,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
42,144203593,614,C1CC(NC1)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
43,144203594,94280,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,21.3138,40.285,active antagonist,16.2927,-38.1934,NCI
44,144203595,23664709,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
45,144203596,546,C(C(=O)O)P(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
46,144203597,16678045,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
47,144203598,14676,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inconclusive antagonist,,,NCI
48,144203599,441358,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,22.5767,-94.1427,inactive,,0,active antagonist,26.8325,-98.2301,active antagonist,19.7391,-39.712,NCI
49,144203600,71822,CCC1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)CN(C)C.Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,26.8325,-89.4482,inactive,,0,active antagonist,26.8325,-115.991,active antagonist,18.9959,-52.2897,NCI
50,144203601,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
51,144203602,298391,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
52,144203603,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
53,144203604,2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
54,144203605,23667629,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
55,144203606,122820,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,21.3138,-120.633,inactive,,0,active antagonist,22.1476,-134.362,active antagonist,18.2807,-33.9512,NCI
56,144203607,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,26.8325,-92.3451,inactive,,0,inconclusive antagonist,25.3315,-74.8064,inactive,,0,NCI
57,144203608,65758,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,1.19856,77.836,inactive,,0,Bionet
58,144203609,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
59,144203610,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
60,144203611,71203,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,9.09931,-74.9452,inactive,,0,inconclusive antagonist,7.22784,-92.287,inactive,,0,"Prestwick Chemical, Inc."
61,144203612,3061720,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
62,144203613,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
63,144203614,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
64,144203615,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,BIOMOL
65,144203616,1727,C1=CN=CC=C1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
66,144203617,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
67,144203618,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
68,144203619,2130,C1C2CC3CC1CC(C2)(C3)N,Inconclusive,5,,,inconclusive,active agonist,27.8822,40.901,inactive,,0,inactive,,0,inactive,,0,BIOMOL
69,144203620,169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
70,144203621,5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,BIOMOL
71,144203622,119,C(CC(=O)O)CN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
72,144203623,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,50,,,active antagonist,active antagonist,26.8325,-84.0508,inactive,,0,active antagonist,28.973,-78.9673,inactive,,0,SigmaAldrich
73,144203624,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,28.973,52.6777,inactive,,0,BIOMOL
74,144203625,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,15.9831,-36.2353,SigmaAldrich
75,144203626,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
77,144203628,2141,C(CN)CNCCSP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
78,144203629,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
79,144203630,2230,CN1CCC=C(C1)C(=O)OC,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,BIOMOL
80,144203631,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Inconclusive,20,,,active agonist,active agonist,23.9145,89.8491,inactive,,0,active agonist,23.9145,81.1084,inactive,,0,BIOMOL
81,144203632,564,C(CCC(=O)O)CCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,"Prestwick Chemical, Inc."
82,144203633,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
83,144203634,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.801052,27.0837,inactive,,0,BIOMOL
84,144203635,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
85,144203636,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,"Prestwick Chemical, Inc."
86,144203637,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,BIOMOL
87,144203638,4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
88,144203639,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Inconclusive,5,,,inconclusive,active agonist,23.0141,51.2044,inactive,,0,inactive,,0,inactive,,0,BIOMOL
90,144203641,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
91,144203642,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
92,144203643,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
93,144203644,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
94,144203645,1687,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,21.3138,-114.107,inactive,,0,inconclusive antagonist,21.3138,-173.457,active antagonist,18.2807,-82.417,BIOMOL
95,144203646,2765,C1CC1C2=CC=CC=C2OCC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
96,144203647,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
97,144203648,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
98,144203649,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
99,144203650,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
100,144203651,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
101,144203652,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
102,144203653,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
103,144203654,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
104,144203655,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
105,144203656,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
106,144203657,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
107,144203658,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
108,144203659,5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203660,1547484,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
111,144203662,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Active,51,,,active antagonist,active antagonist,11.4554,-59.7446,inactive,,0,active antagonist,11.4554,-55.3955,inconclusive antagonist,,,"Prestwick Chemical, Inc."
112,144203663,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inconclusive,20,,,active agonist,active agonist,23.9145,59.3006,inactive,,0,active agonist,23.0141,43.4604,inactive,,0,BIOMOL
113,144203664,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inconclusive,5,,,inconclusive,inconclusive antagonist,22.5767,-38.8284,inactive,,0,inactive,,0,inactive,,0,BIOMOL
114,144203665,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
